Publications,Frequency
Business Insider,6
The Atlantic,6
The New York Times,5
Vox,5
The Washington Post,4
Los Angeles Times,4
Dallas Morning News,3
Gizmodo,3
FiveThirtyEight,3
FITSNews,2
The Wall Street Journal,2
The Boston Globe,2
Medical Economics,2
Kaiser Health News (KHN),2
The Hour/Associated Press,2
The Hill,2
Columbia Journalism Review,2
Talking Points Memo,2
CNBC,2
NPR,2
The Guardian,2
The City,1
Fort Myers News-Press,1
360 Dx,1
Fast Company,1
MarketWatch,1
The Wichita Eagle,1
PBS,1
Kuer News (NPR),1
Victoria Advocate,1
News Parliament,1
Bloomberg,1
Southern Standard/Associated Press,1
Honolulu Civil Beat,1
Associated Press/Telegraph Herald,1
Yahoo,1
DarkDaily,1
Washington Post,1
The Texas Tribune,1
WMBF News,1
21WMFJ,1
Bozeman Daily Chronicle,1
SF Reporter,1
Business Insider Italy,1
Daily Herald,1
"MSNBC, Rachel Maddow Show",1
Computer World,1
Medium,1
CT Mirror,1
Globe Newswire,1
Commonwealth Club,1
San Antonio Current,1
Gizmodo Brasil,1
InsideSources,1
ABC 7 News,1
Ze Mag,1
Becker's Hospital Review,1
WPRI.com Eyewitness News,1
Herald Dispatch,1
STAT News,1
ProPublica,1
Politico,1
Sentinel Tribune,1
TIME,1
LAist,1
The New Yorker,1
China.org.cn,1
News Brig,1
Lindro,1
Shore News Network,1
Atlanta Journal Constitution,1
ABC 13 Eyewitness News,1
CNN,1
The Verge,1
WWMT-TV,1
CityLab,1
ZD Net,1
WIRED,1
Hack a Day,1
The Atlanta Journal-Constitution,1
Slate,1
WRAL.com,1
Dallas News,1
El Heraldo,1
Ark Valley Voice,1
ClickOrlando.com,1
CBSN Philly,1
Ars Technica,1
San Francisco Chronicle,1
Science News,1
KQED,1
Atchison GLOBENow.com/Associated Press,1
Minnesota Public Radio,1
PolitiFact,1
PBS NewsHour,1
CBS,1
